Price,Adj Close,Returns,signal,Tech Signal,Combined Signal,Portfolio Value (Buy & Hold),Portfolio Value (Strategy)
Ticker,GLD,,,,,,
Date,,,,,,,
2024-05-20,224.55999755859375,,,0,,,
2024-05-21,224.22999572753906,-0.001469548604570936,0.0,0,0.0,998.530451395429,
2024-05-22,220.11000061035156,-0.01837396956557802,2.0,0,2.0,980.1834832711866,1000.0
2024-05-23,215.72000122070312,-0.019944570339717638,0.0,0,0.0,960.634144843255,960.1108593205647
2024-05-24,215.9199981689453,0.0009271136061119734,-1.0,0,-1.0,961.5247618294349,960.1108593205647
2024-05-28,218.19000244140625,0.010513172896031486,0.0,0,0.0,971.6334378943632,950.0170478571703
2024-05-29,216.16000366210938,-0.009303812074716977,1.0,0,1.0,962.5935429826828,950.0170478571703
2024-05-30,216.57000732421875,0.0018967600627461945,0.0,0,0.0,964.4193519716697,951.8190022524738
2024-05-31,215.3000030517578,-0.00586417430627717,0.0,0,0.0,958.763828787361,951.8190022524738
2024-06-03,217.22000122070312,0.008917780500373507,0.0,0,0.0,967.3138741641843,951.8190022524738
2024-06-04,215.27000427246094,-0.008977059834655465,0.0,0,0.0,958.6302396369201,951.8190022524738
2024-06-05,217.82000732421875,0.011845603201319,1.0,0,1.0,969.9857930724444,951.8190022524738
2024-06-06,219.42999267578125,0.007391356612921562,-1.0,0,-1.0,977.1553039785103,958.8542359290769
2024-06-07,211.60000610351562,-0.03568330143379639,0.0,0,0.0,942.2871767190122,993.0693206608065
2024-06-10,213.5399932861328,0.009168181127878317,0.0,0,0.0,950.9262362296492,993.0693206608065
2024-06-11,214.14999389648438,0.0028566106093961263,0.0,0,0.0,953.642662204816,993.0693206608065
2024-06-12,214.72000122070312,0.0026617200115086614,1.0,0,1.0,956.180991962635,993.0693206608065
2024-06-13,212.97000122070312,-0.008150148984962247,-1.0,0,-1.0,948.3879744215506,984.9756577450257
2024-06-14,215.72999572753906,0.012959545903254766,0.0,0,0.0,960.6786519101614,972.2108204948905
2024-06-17,214.61000061035156,-0.005191652247571676,0.0,0,0.0,955.691142427778,972.2108204948905
2024-06-18,215.47000122070312,0.004007271832187298,0.0,0,0.0,959.5208566230997,972.2108204948905
2024-06-20,218.16000366210938,0.012484347826456466,1.0,0,1.0,971.4998487439219,972.2108204948905
2024-06-21,214.77999877929688,-0.015493238109986152,0.0,0,0.0,956.4481702635168,957.1481267598582
2024-06-24,215.6300048828125,0.003957566385821121,0.0,0,0.0,960.2333773919319,957.1481267598582
2024-06-25,214.55999755859375,-0.004962237629221655,0.0,0,0.0,955.468471193803,957.1481267598582
2024-06-26,212.5800018310547,-0.009228168111804491,1.0,0,1.0,946.6512475160978,957.1481267598582
2024-06-27,214.99000549316406,0.011336925587312363,-1.0,0,-1.0,957.3833622663242,967.9992438489701
2024-06-28,215.00999450683594,9.297647872519299e-05,0.0,0,0.0,957.4723764001377,967.9092426878684
2024-07-01,215.57000732421875,0.002604589701363791,0.0,0,0.0,959.9661990910498,967.9092426878684
2024-07-02,215.55999755859375,-4.643394389247657e-05,0.0,0,0.0,959.9216240744227,967.9092426878684
2024-07-03,217.99000549316406,0.011273000380832565,1.0,0,1.0,970.742820908183,967.9092426878684
2024-07-05,220.92999267578125,0.013486798057397165,0.0,0,0.0,983.8350332994397,980.9632391818878
2024-07-08,218.19000244140625,-0.012402074526820739,0.0,0,0.0,971.6334378943628,980.9632391818878
2024-07-09,218.55999755859375,0.0016957473442755777,0.0,0,0.0,973.2810827162815,980.9632391818878
2024-07-10,219.36000061035156,0.0036603361122538036,0.0,0,0.0,976.8436186107215,980.9632391818878
2024-07-11,223.25,0.017733403441032136,0.0,0,0.0,994.166380598343,980.9632391818878
2024-07-12,223.11000061035156,-0.0006270969301161999,1.0,0,1.0,993.5429419130452,980.9632391818878
2024-07-15,223.8300018310547,0.0032271131671974818,0.0,0,0.0,996.7492174230689,984.1289185675885
2024-07-16,228.2899932861328,0.019925798233449088,0.0,0,0.0,1016.6102412187892,984.1289185675885
2024-07-17,227.22999572753906,-0.004643206403117217,0.0,0,0.0,1011.8899100372876,984.1289185675885
2024-07-18,225.77999877929688,-0.006381186355259194,1.0,0,1.0,1005.4328519503333,984.1289185675885
2024-07-19,221.72999572753906,-0.017937829186174925,0.0,0,0.0,987.3975691938795,966.475782129148
2024-07-22,221.8000030517578,0.00031573231212611574,0.0,0,0.0,987.7093225113888,966.475782129148
2024-07-23,222.5800018310547,0.003516676143213937,0.0,0,0.0,991.1827763222946,966.475782129148
2024-07-24,221.8000030517578,-0.0035043524704835294,1.0,0,1.0,987.7093225113888,966.475782129148
2024-07-25,218.3300018310547,-0.01564473026582147,2.0,0,2.0,972.2568765796609,951.3555292092885
2024-07-26,220.6300048828125,0.010534525866662925,-1.0,0,-1.0,982.4991417950301,971.3996880709847
2024-07-29,220.32000732421875,-0.0014050562105476505,1.0,0,1.0,981.1186752739933,972.7645592356329
2024-07-30,222.52000427246094,0.009985461488319247,1.0,0,1.0,990.9155980214126,982.4780622790822
2024-07-31,226.5500030517578,0.018110725786084414,1.0,0,1.0,1008.8617986943323,1000.2714530558623
2024-08-01,225.77000427246094,-0.003442943141866439,0.0,0,0.0,1005.3883448834264,996.8275753165589
2024-08-02,225.33999633789062,-0.0019046282784819235,-1.0,0,-1.0,1003.4734538109053,996.8275753165589
2024-08-05,222.47999572753906,-0.012691935106198704,0.0,0,0.0,990.7374338543443,1009.4792462145462
2024-08-06,220.6999969482422,-0.008000713832612472,0.0,0,0.0,982.8108271628189,1009.4792462145462
2024-08-07,220.5500030517578,-0.0006796279952806517,1.0,0,1.0,982.1428814106141,1009.4792462145462
2024-08-08,224.00999450683594,0.015688013635013043,-2.0,0,-2.0,997.5507523257149,1025.3159703934225
2024-08-09,224.55999755859375,0.0024552612171107047,0.0,0,0.0,999.9999999999998,1020.2811333186402
2024-08-12,228.41000366210938,0.017144665770273848,0.0,0,0.0,1017.1446657702736,1020.2811333186402
2024-08-13,228.05999755859375,-0.001532358906807807,0.0,0,0.0,1015.5860350821686,1020.2811333186402
2024-08-14,226.1999969482422,-0.008155751250824572,0.0,0,0.0,1007.3031680062272,1020.2811333186402
2024-08-15,226.91000366210938,0.0031388449312386157,-1.0,0,-1.0,1010.4649364493441,1020.2811333186402
2024-08-16,231.99000549316406,0.02238773852658915,0.0,0,0.0,1033.0869612368585,997.4393460822904
2024-08-19,231.61000061035156,-0.0016380226467286318,0.0,0,0.0,1031.3947413983124,997.4393460822904
2024-08-20,232.4600067138672,0.0036699887797402297,0.0,0,0.0,1035.1799485267272,997.4393460822904
2024-08-21,232.14999389648438,-0.0013336178629832496,0.0,0,0.0,1033.79941405597,997.4393460822904
2024-08-22,229.3699951171875,-0.011975011209935604,1.0,0,1.0,1021.4196544838247,997.4393460822904
2024-08-23,232.02000427246094,0.011553425520716143,-1.0,0,-1.0,1033.2205503872992,1008.9631872786839
2024-08-26,232.75999450683594,0.0031893380775307456,0.0,0,0.0,1036.5158400311368,1005.7452625666692
2024-08-27,233.38999938964844,0.002706671669018279,0.0,0,0.0,1039.3213480898378,1005.7452625666692
2024-08-28,231.75,-0.007026862307456638,1.0,0,1.0,1032.0181800836103,1005.7452625666692
2024-08-29,232.9499969482422,0.005177980359189593,0.0,0,0.0,1037.3619499504098,1010.9529917825874
2024-08-30,231.2899932861328,-0.0071260085162319076,0.0,0,0.0,1029.9696998606482,1010.9529917825874
2024-09-03,230.2899932861328,-0.0043235765879541255,0.0,0,0.0,1025.5165469800288,1010.9529917825874
2024-09-04,230.42999267578125,0.000607926500195255,1.0,0,1.0,1026.1399856653265,1010.9529917825874
2024-09-05,232.35000610351562,0.008332306942507639,0.0,0,0.0,1034.6900989918706,1019.3765624145664
2024-09-06,230.6300048828125,-0.007402630408956501,0.0,0,0.0,1027.030670601227,1019.3765624145664
2024-09-09,231.60000610351562,0.004205876079289794,-1.0,0,-1.0,1031.3502343314058,1019.3765624145664
2024-09-10,232.6199951171875,0.004404097525005923,0.0,0,0.0,1035.892401345839,1014.8871286189874
2024-09-11,232.25,-0.001590555949419148,0.0,0,0.0,1034.2447565239204,1014.8871286189874
2024-09-12,236.3300018310547,0.017567284525531468,0.0,0,0.0,1052.413628430815,1014.8871286189874
2024-09-13,238.67999267578125,0.009943683944142245,0.0,0,0.0,1062.878496930439,1014.8871286189874
2024-09-16,238.66000366210938,-8.374817448153493e-05,1.0,0,1.0,1062.7894827966254,1014.8871286189874
2024-09-17,237.33999633789062,-0.0055309113549146804,0.0,0,0.0,1056.9112883783416,1009.2738778753518
2024-09-18,235.50999450683594,-0.007710465405288858,1.0,0,1.0,1048.762010452841,1009.2738778753518
2024-09-19,239.1699981689453,0.01554075728197235,0.0,0,0.0,1065.0605663038418,1024.9587582424479
2024-09-20,242.2100067138672,0.012710660066880486,0.0,0,0.0,1078.5981891127694,1024.9587582424479
2024-09-23,242.67999267578125,0.0019404068737312041,0.0,0,0.0,1080.691108452918,1024.9587582424479
2024-09-24,246.07000732421875,0.01396907347432852,0.0,0,0.0,1095.78736194995,1024.9587582424479
2024-09-25,245.72999572753906,-0.001381767735031958,1.0,0,1.0,1094.2732383287519,1024.9587582424479
2024-09-26,246.97999572753906,0.005086884066794806,0.0,0,0.0,1099.8396794295265,1030.172604618873
2024-09-27,245.02000427246094,-0.007935830791900744,1.0,0,1.0,1091.1115378353552,1030.172604618873
2024-09-30,243.05999755859375,-0.007999374253898295,0.0,0,0.0,1082.3833282914638,1021.9318684084135
2024-10-01,245.61000061035156,0.010491249392624136,0.0,0,0.0,1093.7388817269882,1021.9318684084135
2024-10-02,245.66000366210938,0.00020358719772617384,1.0,0,1.0,1093.9615529609632,1021.9318684084135
2024-10-03,245.49000549316406,-0.0006920058878576718,0.0,0,0.0,1093.2045251252243,1021.2246855384855
2024-10-04,245.0,-0.001996030315693287,0.0,0,0.0,1091.0224557518213,1021.2246855384855
2024-10-07,244.1699981689453,-0.0033877625757333663,0.0,0,0.0,1087.3263307069406,1021.2246855384855
2024-10-08,242.3699951171875,-0.007371925565205384,0.0,0,0.0,1079.310641931881,1021.2246855384855
2024-10-09,241.0500030517578,-0.005446185963701722,1.0,0,1.0,1073.4325154633177,1021.2246855384855
2024-10-10,242.82000732421875,0.007342892553628744,0.0,0,0.0,1081.3146150879363,1028.7234286775079
2024-10-11,245.47000122070312,0.010913408354139564,0.0,0,0.0,1093.11544304169,1028.7234286775079
2024-10-14,245.07000732421875,-0.001629502157067031,0.0,0,0.0,1091.3342090693304,1028.7234286775079
2024-10-15,245.9199981689453,0.003468359323146597,0.0,0,0.0,1095.1193482480248,1028.7234286775079
2024-10-16,247.14999389648438,0.005001609209081437,1.0,0,1.0,1100.5967072652654,1028.7234286775079
2024-10-17,248.6300048828125,0.00598831083503093,0.0,0,0.0,1107.1874224523813,1034.8837443317075
2024-10-18,251.27000427246094,0.010618185005034864,0.0,0,0.0,1118.9437433392281,1034.8837443317075
2024-10-21,251.22000122070312,-0.00019900127714245208,1.0,0,1.0,1118.7210721052531,1034.8837443317075
2024-10-22,253.92999267578125,0.01078732362833379,0.0,0,0.0,1130.7890783598891,1046.0473701995154
2024-10-23,250.8699951171875,-0.012050555849465017,1.0,0,1.0,1117.162441417148,1046.0473701995154
2024-10-24,252.8000030517578,0.007693259346016168,0.0,0,0.0,1125.757061810599,1054.0948839066787
2024-10-25,253.32000732421875,0.0020569789010425055,0.0,0,0.0,1128.072720334443,1054.0948839066787
2024-10-28,253.3300018310547,3.945407605776552e-05,0.0,0,0.0,1128.1172274013497,1054.0948839066787
2024-10-29,256.0899963378906,0.010894858433216914,0.0,0,0.0,1140.4079048899607,1054.0948839066787
2024-10-30,257.5,0.005505891218995584,1.0,0,1.0,1146.6868667595675,1054.0948839066787
2024-10-31,253.50999450683594,-0.015495166963743978,2.0,0,2.0,1128.9187623039957,1037.7615076849163
2024-11-01,252.47000122070312,-0.0041023758773532926,-2.0,0,-2.0,1124.287513206028,1029.2469321337715
2024-11-04,252.8300018310547,0.0014259144001700363,-1.0,0,-1.0,1125.89065096104,1026.3116960900506
2024-11-05,253.39999389648438,0.002254447895034817,-1.0,0,-1.0,1128.4289127691384,1023.9979298471509
2024-11-06,245.6999969482422,-0.030386729020158154,1.0,0,1.0,1094.1396491783112,1055.113877458619
2024-11-07,249.64999389648438,0.016076503855530166,-1.0,0,-1.0,1111.7295894668146,1072.0764197776061
2024-11-08,247.9600067138672,-0.006769426092267161,0.0,0,0.0,1104.2038181763326,1079.3337618665528
2024-11-11,242.13999938964844,-0.02347155656813127,1.0,0,1.0,1078.28643579526,1079.3337618665528
2024-11-12,240.0500030517578,-0.008631355179477884,-1.0,0,-1.0,1068.979362582698,1070.0176488106806
2024-11-13,237.6300048828125,-0.010081225320474285,1.0,0,1.0,1058.2027407655648,1080.804737825225
2024-11-14,237.00999450683594,-0.0026091417886487944,0.0,0,0.0,1055.4417397737705,1077.9847650183956
2024-11-15,236.58999633789062,-0.0017720694429753658,0.0,0,0.0,1053.5714237178765,1077.9847650183956
