index,Date,Intel interest,Gold Price
2,2023-01-03,80,26.729999542236328
3,2023-01-04,82,27.68000030517578
4,2023-01-05,81,27.559999465942383
5,2023-01-06,80,28.729999542236328
8,2023-01-09,79,29.309999465942383
9,2023-01-10,83,29.440000534057617
10,2023-01-11,78,29.850000381469727
11,2023-01-12,79,30.290000915527344
12,2023-01-13,77,30.110000610351562
16,2023-01-17,83,29.600000381469727
17,2023-01-18,83,28.809999465942383
18,2023-01-19,86,28.420000076293945
19,2023-01-20,80,29.219999313354492
22,2023-01-23,82,30.270000457763672
23,2023-01-24,85,29.920000076293945
24,2023-01-25,81,29.700000762939453
25,2023-01-26,90,30.09000015258789
26,2023-01-27,100,28.15999984741211
29,2023-01-30,84,27.950000762939453
30,2023-01-31,86,28.260000228881836
31,2023-02-01,100,29.06999969482422
32,2023-02-02,92,30.190000534057617
33,2023-02-03,87,30.31999969482422
36,2023-02-06,86,28.690000534057617
37,2023-02-07,83,29.049999237060547
38,2023-02-08,87,28.239999771118164
39,2023-02-09,84,27.729999542236328
40,2023-02-10,80,27.799999237060547
43,2023-02-13,81,28.549999237060547
44,2023-02-14,80,28.639999389648438
45,2023-02-15,81,28.850000381469727
46,2023-02-16,84,28.200000762939453
47,2023-02-17,78,27.610000610351562
51,2023-02-21,84,26.059999465942383
52,2023-02-22,86,25.469999313354492
53,2023-02-23,83,25.610000610351562
54,2023-02-24,80,25.139999389648438
57,2023-02-27,80,24.899999618530273
58,2023-02-28,79,24.93000030517578
59,2023-03-01,78,25.329999923706055
60,2023-03-02,79,26.200000762939453
61,2023-03-03,78,26.399999618530273
64,2023-03-06,83,25.989999771118164
65,2023-03-07,77,25.530000686645508
66,2023-03-08,74,25.979999542236328
67,2023-03-09,76,26.440000534057617
68,2023-03-10,75,27.219999313354492
71,2023-03-13,79,26.950000762939453
72,2023-03-14,77,28.010000228881836
73,2023-03-15,78,28.40999984741211
74,2023-03-16,81,30.18000030517578
75,2023-03-17,80,29.809999465942383
78,2023-03-20,76,29.15999984741211
79,2023-03-21,74,28.459999084472656
80,2023-03-22,78,28.1299991607666
81,2023-03-23,76,29.030000686645508
82,2023-03-24,76,29.360000610351562
85,2023-03-27,75,29.18000030517578
86,2023-03-28,75,29.290000915527344
87,2023-03-29,81,31.520000457763672
88,2023-03-30,79,32.09000015258789
89,2023-03-31,78,32.66999816894531
92,2023-04-03,71,32.88999938964844
93,2023-04-04,76,33.099998474121094
94,2023-04-05,68,32.83000183105469
95,2023-04-06,74,32.810001373291016
99,2023-04-10,70,32.52000045776367
100,2023-04-11,73,32.349998474121094
101,2023-04-12,74,32.02000045776367
102,2023-04-13,77,32.130001068115234
103,2023-04-14,72,31.889999389648438
106,2023-04-17,70,32.13999938964844
107,2023-04-18,71,31.829999923706055
108,2023-04-19,65,31.149999618530273
109,2023-04-20,70,30.860000610351562
110,2023-04-21,66,30.299999237060547
113,2023-04-24,68,29.65999984741211
114,2023-04-25,70,28.8799991607666
115,2023-04-26,69,29.049999237060547
116,2023-04-27,79,29.860000610351562
117,2023-04-28,75,31.059999465942383
120,2023-05-01,64,30.299999237060547
121,2023-05-02,71,29.770000457763672
122,2023-05-03,74,30.649999618530273
123,2023-05-04,67,31.239999771118164
124,2023-05-05,67,30.989999771118164
127,2023-05-08,67,30.770000457763672
128,2023-05-09,68,30.100000381469727
129,2023-05-10,75,29.969999313354492
130,2023-05-11,71,28.860000610351562
131,2023-05-12,66,28.950000762939453
134,2023-05-15,65,29.799999237060547
135,2023-05-16,67,29.219999313354492
136,2023-05-17,65,28.8700008392334
137,2023-05-18,64,29.68000030517578
138,2023-05-19,66,29.93000030517578
141,2023-05-22,67,30.280000686645508
142,2023-05-23,69,29.510000228881836
143,2023-05-24,67,29.0
144,2023-05-25,73,27.399999618530273
145,2023-05-26,74,29.0
149,2023-05-30,72,29.989999771118164
150,2023-05-31,75,31.440000534057617
151,2023-06-01,73,31.1299991607666
152,2023-06-02,70,31.309999465942383
155,2023-06-05,72,29.860000610351562
156,2023-06-06,71,30.959999084472656
157,2023-06-07,72,31.280000686645508
158,2023-06-08,74,31.81999969482422
159,2023-06-09,69,31.34000015258789
162,2023-06-12,76,33.06999969482422
163,2023-06-13,80,33.90999984741211
164,2023-06-14,77,35.58000183105469
165,2023-06-15,75,35.81999969482422
166,2023-06-16,88,36.369998931884766
170,2023-06-20,80,35.0
171,2023-06-21,76,32.900001525878906
172,2023-06-22,74,32.709999084472656
173,2023-06-23,73,33.0
176,2023-06-26,74,33.34000015258789
177,2023-06-27,79,34.099998474121094
178,2023-06-28,80,33.56999969482422
179,2023-06-29,73,32.90999984741211
180,2023-06-30,69,33.439998626708984
183,2023-07-03,74,33.619998931884766
185,2023-07-05,74,32.5099983215332
186,2023-07-06,74,31.969999313354492
187,2023-07-07,72,31.850000381469727
190,2023-07-10,80,32.7400016784668
191,2023-07-11,98,33.29999923706055
192,2023-07-12,86,33.97999954223633
193,2023-07-13,80,33.869998931884766
194,2023-07-14,76,33.150001525878906
197,2023-07-17,77,34.369998931884766
198,2023-07-18,77,34.5
199,2023-07-19,78,34.459999084472656
200,2023-07-20,75,33.369998931884766
201,2023-07-21,73,34.02000045776367
204,2023-07-24,78,33.630001068115234
205,2023-07-25,79,34.099998474121094
206,2023-07-26,84,34.36000061035156
207,2023-07-27,85,34.54999923706055
208,2023-07-28,89,36.83000183105469
211,2023-07-31,78,35.77000045776367
212,2023-08-01,78,35.79999923706055
213,2023-08-02,76,34.38999938964844
214,2023-08-03,78,34.869998931884766
215,2023-08-04,78,35.13999938964844
218,2023-08-07,76,35.22999954223633
219,2023-08-08,83,35.02000045776367
220,2023-08-09,83,34.279998779296875
221,2023-08-10,83,34.68000030517578
222,2023-08-11,77,34.88999938964844
225,2023-08-14,78,35.68000030517578
226,2023-08-15,76,34.77000045776367
227,2023-08-16,80,33.529998779296875
228,2023-08-17,78,32.58000183105469
229,2023-08-18,77,32.75
232,2023-08-21,79,33.13999938964844
233,2023-08-22,80,32.88999938964844
234,2023-08-23,77,33.97999954223633
235,2023-08-24,82,32.59000015258789
236,2023-08-25,80,33.25
239,2023-08-28,83,33.619998931884766
240,2023-08-29,82,34.310001373291016
241,2023-08-30,79,34.529998779296875
242,2023-08-31,80,35.13999938964844
243,2023-09-01,77,36.61000061035156
247,2023-09-05,82,36.709999084472656
248,2023-09-06,80,36.97999954223633
249,2023-09-07,82,38.18000030517578
250,2023-09-08,81,38.0099983215332
253,2023-09-11,75,38.59000015258789
254,2023-09-12,78,38.86000061035156
255,2023-09-13,80,38.709999084472656
256,2023-09-14,77,38.66999816894531
257,2023-09-15,73,37.880001068115234
260,2023-09-18,78,37.9900016784668
261,2023-09-19,82,36.34000015258789
262,2023-09-20,84,34.689998626708984
263,2023-09-21,82,34.650001525878906
264,2023-09-22,72,34.18000030517578
267,2023-09-25,78,34.290000915527344
268,2023-09-26,81,33.83000183105469
269,2023-09-27,81,34.61000061035156
270,2023-09-28,81,35.18000030517578
271,2023-09-29,71,35.54999923706055
274,2023-10-02,79,35.459999084472656
275,2023-10-03,83,35.689998626708984
276,2023-10-04,79,35.93000030517578
277,2023-10-05,77,35.88999938964844
278,2023-10-06,76,36.189998626708984
281,2023-10-09,78,36.060001373291016
282,2023-10-10,88,36.43000030517578
283,2023-10-11,81,36.880001068115234
284,2023-10-12,84,36.84000015258789
285,2023-10-13,78,35.970001220703125
288,2023-10-16,79,36.560001373291016
289,2023-10-17,85,36.060001373291016
290,2023-10-18,86,35.63999938964844
291,2023-10-19,82,35.66999816894531
292,2023-10-20,74,34.91999816894531
295,2023-10-23,77,33.849998474121094
296,2023-10-24,82,34.59000015258789
297,2023-10-25,81,32.83000183105469
298,2023-10-26,81,32.52000045776367
299,2023-10-27,81,35.540000915527344
302,2023-10-30,77,35.689998626708984
303,2023-10-31,85,36.5
304,2023-11-01,80,37.290000915527344
305,2023-11-02,85,37.70000076293945
306,2023-11-03,80,38.13999938964844
309,2023-11-06,78,37.95000076293945
310,2023-11-07,84,38.77000045776367
311,2023-11-08,81,37.91999816894531
312,2023-11-09,82,37.79999923706055
313,2023-11-10,81,38.86000061035156
316,2023-11-13,85,38.22999954223633
317,2023-11-14,86,39.40999984741211
318,2023-11-15,87,40.61000061035156
319,2023-11-16,90,43.349998474121094
320,2023-11-17,93,43.810001373291016
323,2023-11-20,93,44.7400016784668
324,2023-11-21,89,43.63999938964844
325,2023-11-22,91,43.66999816894531
327,2023-11-24,100,43.959999084472656
330,2023-11-27,92,44.08000183105469
331,2023-11-28,87,44.22999954223633
332,2023-11-29,82,44.939998626708984
333,2023-11-30,83,44.70000076293945
334,2023-12-01,77,43.7400016784668
337,2023-12-04,84,42.349998474121094
338,2023-12-05,83,41.91999816894531
339,2023-12-06,82,41.27000045776367
340,2023-12-07,78,42.150001525878906
341,2023-12-08,89,42.70000076293945
344,2023-12-11,80,44.540000915527344
345,2023-12-12,80,44.040000915527344
346,2023-12-13,84,44.56999969482422
347,2023-12-14,88,45.18000030517578
348,2023-12-15,86,46.15999984741211
351,2023-12-18,86,45.689998626708984
352,2023-12-19,85,46.65999984741211
353,2023-12-20,81,45.7599983215332
354,2023-12-21,81,47.08000183105469
355,2023-12-22,81,48.0
359,2023-12-26,94,50.5
360,2023-12-27,97,50.7599983215332
361,2023-12-28,92,50.38999938964844
362,2023-12-29,83,50.25
366,2024-01-02,76,47.79999923706055
367,2024-01-03,79,47.04999923706055
368,2024-01-04,79,46.869998931884766
369,2024-01-05,77,46.88999938964844
372,2024-01-08,77,48.45000076293945
373,2024-01-09,84,48.04999923706055
374,2024-01-10,86,47.470001220703125
375,2024-01-11,79,47.63999938964844
376,2024-01-12,73,47.119998931884766
380,2024-01-16,79,47.060001373291016
381,2024-01-17,77,46.060001373291016
382,2024-01-18,74,46.7400016784668
383,2024-01-19,72,48.150001525878906
386,2024-01-22,76,48.220001220703125
387,2024-01-23,79,48.88999938964844
388,2024-01-24,79,49.09000015258789
389,2024-01-25,87,49.54999923706055
390,2024-01-26,100,43.650001525878906
393,2024-01-29,84,43.84000015258789
394,2024-01-30,85,42.91999816894531
395,2024-01-31,83,43.08000183105469
396,2024-02-01,84,43.36000061035156
397,2024-02-02,78,42.599998474121094
400,2024-02-05,79,42.77000045776367
401,2024-02-06,78,42.7400016784668
402,2024-02-07,78,42.779998779296875
403,2024-02-08,78,42.5
404,2024-02-09,72,43.310001373291016
407,2024-02-12,74,44.029998779296875
408,2024-02-13,79,43.15999984741211
409,2024-02-14,78,44.189998626708984
410,2024-02-15,76,44.04999923706055
411,2024-02-16,80,43.5099983215332
415,2024-02-20,81,44.52000045776367
416,2024-02-21,83,43.470001220703125
417,2024-02-22,87,42.97999954223633
418,2024-02-23,83,42.9900016784668
421,2024-02-26,82,42.9900016784668
422,2024-02-27,78,42.72999954223633
423,2024-02-28,78,41.9900016784668
424,2024-02-29,79,43.04999923706055
425,2024-03-01,82,43.81999969482422
428,2024-03-04,80,45.61000061035156
429,2024-03-05,83,43.15999984741211
430,2024-03-06,79,44.5099983215332
431,2024-03-07,80,46.150001525878906
432,2024-03-08,76,44.0
435,2024-03-11,81,44.86000061035156
436,2024-03-12,84,45.2400016784668
437,2024-03-13,81,43.22999954223633
438,2024-03-14,79,42.75
439,2024-03-15,79,42.63999938964844
442,2024-03-18,77,42.709999084472656
443,2024-03-19,79,42.04999923706055
444,2024-03-20,93,42.20000076293945
445,2024-03-21,84,42.41999816894531
446,2024-03-22,78,42.56999969482422
449,2024-03-25,82,41.83000183105469
450,2024-03-26,82,41.9900016784668
451,2024-03-27,81,43.77000045776367
452,2024-03-28,78,44.16999816894531
456,2024-04-01,72,44.52000045776367
457,2024-04-02,78,43.939998626708984
458,2024-04-03,81,40.33000183105469
459,2024-04-04,76,39.72999954223633
460,2024-04-05,75,38.709999084472656
463,2024-04-08,73,37.97999954223633
464,2024-04-09,76,38.33000183105469
465,2024-04-10,84,37.20000076293945
466,2024-04-11,76,37.630001068115234
467,2024-04-12,76,35.689998626708984
470,2024-04-15,74,36.310001373291016
471,2024-04-16,74,36.2599983215332
472,2024-04-17,72,35.68000030517578
473,2024-04-18,74,35.040000915527344
474,2024-04-19,71,34.20000076293945
477,2024-04-22,71,34.40999984741211
478,2024-04-23,72,34.279998779296875
479,2024-04-24,77,34.5
480,2024-04-25,80,35.11000061035156
481,2024-04-26,80,31.8799991607666
484,2024-04-29,72,31.360000610351562
485,2024-04-30,72,30.469999313354492
486,2024-05-01,70,30.3700008392334
487,2024-05-02,72,30.510000228881836
488,2024-05-03,69,30.899999618530273
491,2024-05-06,70,30.969999313354492
492,2024-05-07,70,30.68000030517578
493,2024-05-08,71,30.0
494,2024-05-09,71,30.09000015258789
495,2024-05-10,75,29.850000381469727
498,2024-05-13,69,30.510000228881836
499,2024-05-14,73,31.049999237060547
500,2024-05-15,74,31.270000457763672
501,2024-05-16,75,32.029998779296875
502,2024-05-17,73,31.829999923706055
505,2024-05-20,73,32.099998474121094
506,2024-05-21,76,31.739999771118164
507,2024-05-22,72,31.420000076293945
508,2024-05-23,76,30.079999923706055
509,2024-05-24,73,30.719999313354492
513,2024-05-28,75,31.059999465942383
514,2024-05-29,74,30.1299991607666
515,2024-05-30,72,30.190000534057617
516,2024-05-31,69,30.850000381469727
