commodity,signal,title,description,published_at,sentiment_score
Gold,Buy,Trump’s Election: How It Affects The Energy Sector,"The energy sector surged the day after Donald Trump’s 2024 presidential victory, with the Energy Select Sector SPDR Fund (XLE), representing energy stocks in the S&P 500, climbing nearly 4%. This rally reflects market optimism for fossil fuel investments unde…",2024-11-12T18:11:14Z,0.1
Gold,Buy,Inside Economics: Why Trump might mean higher mortgage rates in NZ ... all the fallout from his big win,Liam Dann takes a trip down the wild and winding path of Donald Trump's economic policy.,2024-11-12T17:00:00Z,0.048148148148148155
Gold,Buy,Inside Economics: Why Trump might mean higher mortgage rates in NZ...all the fallout from his big win,Liam Dann takes a trip down the wild and winding path of Donald Trump's economic policy.,2024-11-12T17:00:00Z,0.048148148148148155
Gold,Buy,What a US Strategic Bitcoin Reserve could look like under Trump’s presidency,"With Trumps campaign promise of a US Bitcoin reserve, interest grows in how this idea, initially proposed by Senator Lummis in July, might unfold.
The post What a US Strategic Bitcoin Reserve could look like under Trump’s presidency appeared first on Crypto B…",2024-11-12T16:30:04Z,0.125
Gold,Buy,Taming inflation: Cost of living is the Grinch that threatens Christmas - Ryan Bridge,OPINION: We all need to adjust our expectations to match our current reality.,2024-11-12T16:00:00Z,0.0
Gold,Buy,"BTC hits $82k, Inflation Data this week, PNUT & ACT get Binance listing","Bitcoin nears $82k ATH, $1.6T market cap. Coinbase stocks rises 15% pre-market. Coinbase breaks into top 100 most popular apps. FTX files $1.8bn lawsuit against Binance & CZ. MicroStrategy now owns over $20bn BTC. Funding rates begin to rise, particularly on …",2024-11-12T15:14:24Z,0.4416666666666667
Gold,Buy,Stock market today: Trump rally slows with stocks at record highs ahead of new economic data,The five-day post-election rally wavered on Tuesday morning as investors awaited fresh inflation data.,2024-11-12T14:48:24Z,0.3
Gold,Buy,Biotech-Ville U.S.A.: The Story Behind America’s Fastest-Growing Life Sciences Hub,"One morning in May of this year, the principal behind two life sciences companies parked his car in front of a six-story building in the final throes of construction a little ways inside the border of Watertown, Mass.  Jonathan Davis, founder and CEO of Bosto…",2024-11-12T14:30:29Z,-0.19583333333333333
Gold,Buy,Inside Economics: Why Trump might mean higher mortgage rates in NZ...all the fallout from his big win,Liam Dann takes a trip down the wild and winding path of Donald Trump's economic policy.,2024-11-12T17:00:00Z,0.048148148148148155
Gold,Buy,Inside Economics: Why Trump might mean higher mortgage rates in NZ ... all the fallout from his big win,Liam Dann takes a trip down the wild and winding path of Donald Trump's economic policy.,2024-11-12T17:00:00Z,0.048148148148148155
Gold,Buy,"'If youve lost your personality, theres no point in changing the valve--a qualitative study of older adults attitudes towards treatment of aortic stenosis with comorbid dementia","Objectives Due to prognostic uncertainty and limited decision-making capacity, the choice to perform transcatheter aortic valve implantation (TAVI) in patients with severe aortic stenosis (AS) and comorbid dementia is challenging. This study explores older ad…",2024-11-12T16:47:58Z,0.11755952380952381
Gold,Buy,"'Stupid Risks That Worked' – Investor Whose Portfolio Went From $25k to $438K in 6 Years Shares Holdings: Top 11 Stocks, ETFs","Many Americans use the stock market to build wealth and achieve financial freedom. In 2022, roughly 60% of U.S. households had some stock exposure and the...",2024-11-12T15:05:22Z,0.13333333333333333
Gold,Buy,Biotech-Ville U.S.A.: The Story Behind America’s Fastest-Growing Life Sciences Hub,"One morning in May of this year, the principal behind two life sciences companies parked his car in front of a six-story building in the final throes of construction a little ways inside the border of Watertown, Mass.  Jonathan Davis, founder and CEO of Bosto…",2024-11-12T14:30:29Z,-0.19583333333333333
Gold,Buy,What the Bosa/Kaepernick Double Standard Tells Us About The 2024 Elections,"Dave Zirin



Nick Bosa and Colin Kaepernick both brought their politics onto the field, yet they experienced very different repercussions. 




The post What the Bosa/Kaepernick Double Standard Tells Us About The 2024 Elections appeared first on The Nation.",2024-11-12T18:28:12Z,0.21000000000000002
Gold,Buy,Trump-Vance Win: Energy Issues We’re Watching,"President Trump won election as America’s 47th President with a victory speech promising to expand U.S. energy production, stating: “We have more liquid gold — oil and gas — we have more liquid gold than any country in the world. More than Saudi Arabia, more …",2024-11-12T18:11:07Z,0.44000000000000006
Gold,Buy,Inside Economics: Why Trump might mean higher mortgage rates in NZ ... all the fallout from his big win,Liam Dann takes a trip down the wild and winding path of Donald Trump's economic policy.,2024-11-12T17:00:00Z,0.048148148148148155
Gold,Buy,"Inside AI Fest, the digital experience that put Jack Morton employees’ AI fears to rest","Winning Gold in the Employee Experience category at The Drum Awards for Digital Experience is Jack Morton Worldwide for its AI Fest: Choose Your Own Adventure. Here is the agency’s award-winning case study. 18 months ago, the world was introduced to Chat GPT …",2024-11-12T17:00:00Z,0.3666666666666667
Gold,Buy,How WongDoody revolutionized India’s tax filing experience,"Winning Gold in the Government or Public Sector category at The Drum Awards for Digital Experience is WongDoody with ITD 2.0, its work with the India Income Tax Department that revolutionized the country’s tax filing experience. Here is the award-winning case…",2024-11-12T17:00:00Z,0.16666666666666666
Gold,Buy,Inside Economics: Why Trump might mean higher mortgage rates in NZ...all the fallout from his big win,Liam Dann takes a trip down the wild and winding path of Donald Trump's economic policy.,2024-11-12T17:00:00Z,0.048148148148148155
Gold,Buy,Taming inflation: Cost of living is the Grinch that threatens Christmas - Ryan Bridge,OPINION: We all need to adjust our expectations to match our current reality.,2024-11-12T16:00:00Z,0.0
Gold,Buy,How the Online Streaming Act Misdiagnosed Canada’s Broadcasting Woes,"Nearly one year ago, I made my way from my home in Ottawa across the river to the Gatineau hearing room used by the Canadian Radio-television and Telecommunications Commission (CRTC) to participate in its inaugural proceeding on implementing the Online Stream…",2024-11-12T15:51:25Z,0.1
Gold,Buy,"PN Gadgil Jewellers Q2 Results: PAT soars 59% to Rs 35 crore, revenue up 46%","P N Gadgil Jewellers reported a 46% revenue growth to Rs 2,001.3 crore in Q2 FY25, with a 59% increase in PAT to Rs 34.9 crore. Strong festive demand, lower gold import duties, and a successful flagship event drove the performance.",2024-11-12T15:25:47Z,0.5916666666666667
Gold,Buy,"Waller, What Roles Should the Private Sector and the Federal Reserve Play in Payments?",Thank you for inviting me to speak here today.  1     The Clearing House is a great place to talk about the evolution of clearing and settlement of payments in,2024-11-12T15:00:00Z,0.8
Gold,Buy,Meet The New C-Suite Class of 2024,These female entrepreneurs of color are initiating change where it’s desperately needed. Read up on how.,2024-11-12T14:59:00Z,-0.3
Gold,Buy,Biotech-Ville U.S.A.: The Story Behind America’s Fastest-Growing Life Sciences Hub,"One morning in May of this year, the principal behind two life sciences companies parked his car in front of a six-story building in the final throes of construction a little ways inside the border of Watertown, Mass.  Jonathan Davis, founder and CEO of Bosto…",2024-11-12T14:30:29Z,-0.19583333333333333
Gold,Buy,This grossout ‘Smear Campaign’ resonates with UK public,"Winning Gold at The Drum Awards in Design for Art Direction is AMV BBDO and Central Office of Public Interest with Playing Dirty to Tackle Sewage Pollution. Here is the award-winning case study.ChallengeEvery day, millions of litres of raw sewage is dumped in…",2024-11-12T14:30:00Z,-0.06615384615384615
Gold,Buy,Trump’s Election: How It Affects The Energy Sector,"The energy sector surged the day after Donald Trump’s 2024 presidential victory, with the Energy Select Sector SPDR Fund (XLE), representing energy stocks in the S&P 500, climbing nearly 4%. This rally reflects market optimism for fossil fuel investments unde…",2024-11-12T18:11:14Z,0.1
Gold,Buy,Trump-Vance Win: Energy Issues We’re Watching,"President Trump won election as America’s 47th President with a victory speech promising to expand U.S. energy production, stating: “We have more liquid gold — oil and gas — we have more liquid gold than any country in the world. More than Saudi Arabia, more …",2024-11-12T18:11:07Z,0.44000000000000006
Gold,Buy,Why Rika lent its expertise to maturing Kensington Mortgages’ digital estate,"Winning Gold in the Experience Platforms category at The Drum Awards for Digital Experience is Rika for its work with Kensington Mortgages. Here is the award-winning case study.Kensington Mortgages aimed to reinvent itself as a modern, customer-centric digita…",2024-11-12T17:00:00Z,0.2333333333333333
Gold,Buy,Inside Economics: Why Trump might mean higher mortgage rates in NZ ... all the fallout from his big win,Liam Dann takes a trip down the wild and winding path of Donald Trump's economic policy.,2024-11-12T17:00:00Z,0.048148148148148155
Gold,Buy,"Inside AI Fest, the digital experience that put Jack Morton employees’ AI fears to rest","Winning Gold in the Employee Experience category at The Drum Awards for Digital Experience is Jack Morton Worldwide for its AI Fest: Choose Your Own Adventure. Here is the agency’s award-winning case study. 18 months ago, the world was introduced to Chat GPT …",2024-11-12T17:00:00Z,0.3666666666666667
Gold,Buy,Inside Economics: Why Trump might mean higher mortgage rates in NZ...all the fallout from his big win,Liam Dann takes a trip down the wild and winding path of Donald Trump's economic policy.,2024-11-12T17:00:00Z,0.048148148148148155
Gold,Buy,Lexar’s New 6-Bay Docking Station Is a Modular Storage Solution for Pros,"Lexar's latest storage solutions target professional workflows from every angle: memory cards, external storage, and data transfer.
[Read More]",2024-11-12T16:22:40Z,0.275
Gold,Buy,"Oil and gas are a 'gift of god', says COP29 host",Azerbaijan's president said countries should not be blamed for having fossil fuel reserves.,2024-11-12T16:14:03Z,0.0
Gold,Buy,How the Online Streaming Act Misdiagnosed Canada’s Broadcasting Woes,"Nearly one year ago, I made my way from my home in Ottawa across the river to the Gatineau hearing room used by the Canadian Radio-television and Telecommunications Commission (CRTC) to participate in its inaugural proceeding on implementing the Online Stream…",2024-11-12T15:51:25Z,0.1
Gold,Buy,A cyberattack on payment systems blocked cards readers across stores and gas stations in Israel,"A cyberattack in Israel allegedly disrupted communication services, causing widespread malfunction of credit card readers across the country on Sunday. The Jerusalem Post reported that thousands of credit card readers across at gas stations and supermarket ch…",2024-11-12T15:20:45Z,-0.1
Gold,Buy,"(PR) Lexar Introduces Professional Workflow 6-Bay Docking Station, Workflow Portable SSD, Workflow Reader Modules, and Three CFexpress 4.0 Cards","Lexar, a leading global brand of flash memory solutions, is excited to announce their Professional Workflow solutions—the Professional Workflow 6-Bay Docking Station, the Professional Workflow Portable SSD, the Professional Workflow Dual-Slot SD UHS-II Card R…",2024-11-12T15:12:22Z,0.12916666666666665
Gold,Buy,Owner’s Review: the Rolex Oysterquartz 17013,"When I began this journey, many years ago and aided by guiding voices from the wider watch community in its various guises, there seemed to be many arbitrary categories than one needed to ‘fill’ in order to have a complete collection. A diver, a dress watch, …",2024-11-12T15:00:19Z,0.2
Gold,Buy,Meet The New C-Suite Class of 2024,These female entrepreneurs of color are initiating change where it’s desperately needed. Read up on how.,2024-11-12T14:59:00Z,-0.3
Gold,Buy,"Akamai Launches Cloud-Agnostic, Ready-to-Run Application Platform","Akamai Technologies, Inc., the cloud company that powers and protects life online, announced Akamai App Platform, a ready-to-run solution that makes it easy to deploy, manage, and scale highly distributed applications.",2024-11-12T14:46:00Z,0.2966666666666667
Gold,Buy,Why NBCU redesigned election coverage as a rich interactive experience,"Scooping Gold in The Drum Awards for Design, is Design Interaction winner Code and Theory and NBC News Group with Powering the Future of Data Journalism. Here is the award-winning case study.How do you deliver fair, accurate, and up-to-date news during a nati…",2024-11-12T14:30:00Z,0.3666666666666667
Gold,Buy,​Persil’s poster scavenger hunt wins big with Arsenal fans,"Winning Gold at The Drum Awards for Design in Posters is LOLA MullenLowe and Persil with Designed. Here is the award-winning case study.Situation: In August 2023, the brand forged a partnership with Arsenal F.C. as a sponsor. Both Dirt Is Good and Arsenal sha…",2024-11-12T14:30:00Z,0.6
Gold,Buy,“Haunting Deathbed Confessions”: 40 People Share Their Personal Stories,"Everyone's got secrets and some are too heavy to take with one to the grave. 
The post “Haunting Deathbed Confessions”: 40 People Share Their Personal Stories appeared first on DeMilked.",2024-11-12T14:05:24Z,0.016666666666666663
Gold,Buy,"Whole genome sequencing and antimicrobial resistance among clinical isolates of Shigella sonnei in Addis Ababa, Ethiopia","Background Shigellosis is an acute gastroenteritis infection and one of Ethiopia’s most common causes of morbidity and mortality, especially in children under five. Antimicrobial resistance (AMR) has spread quickly among Shigella species due to inappropriate …",2024-11-12T14:00:00Z,0.16805555555555554
Gold,Buy,C.Africa urges lifting of embargo on diamond exports,"The Central African Republic (CAR) sought Tuesday to convince the regulatory body for global diamond trading to lift all restrictions against it, ending an export embargo in place for more than a decade. The Kimberley Process (KP) regulatory body opened its p…",2024-11-12T13:52:33Z,0.125
Silver,Hold,Rega Naia Turntable,Rega Naia Turntable - Rega’s minimalist flagship turntable proves that less is more. Michael Fremer weighs in on the venerable British firm’s new statement product.,2024-11-12T16:30:42Z,0.09494949494949494
Silver,Hold,A cyberattack on payment systems blocked cards readers across stores and gas stations in Israel,"A cyberattack in Israel allegedly disrupted communication services, causing widespread malfunction of credit card readers across the country on Sunday. The Jerusalem Post reported that thousands of credit card readers across at gas stations and supermarket ch…",2024-11-12T15:20:45Z,-0.1
Copper,Hold,Rega Naia Turntable,Rega Naia Turntable - Rega’s minimalist flagship turntable proves that less is more. Michael Fremer weighs in on the venerable British firm’s new statement product.,2024-11-12T16:30:42Z,0.09494949494949494
Copper,Hold,"Oil and gas are a 'gift of god', says COP29 host",Azerbaijan's president said countries should not be blamed for having fossil fuel reserves.,2024-11-12T16:14:03Z,0.0
Copper,Hold,Demand Concerns Continue to Dominate Oil Markets,"Demand concerns are dominating oil markets this week, with OPEC cutting its global oil demand growth forecast for the fourth consecutive month on the back of underwhelming economic data out of China. - Immediately after Donald Trump’s re-election as US presid…",2024-11-12T14:30:00Z,-0.07999999999999999
Copper,Hold,Chinese mining enterprises in Zambia launch association to boost sector contributions,"LUSAKA, Nov. 12 (Xinhua) -- Chinese enterprises operating in Zambia's mining industry on Tuesday officially launched an association aimed at enhancing the enterprises' contribution to the mining sector in the southern African nation. Read full story",2024-11-12T17:29:00Z,0.0875
Copper,Hold,Gradiant’s alkaLi Sets New Standards in Direct Lithium Extraction,"- Gradiant’s spin-out, alkaLi, is leading the direct lithium extraction (DLE) and production market with its EC2 technology, which has demonstrated a ...",2024-11-12T14:39:05Z,0.1
Copper,Hold,Demand Concerns Continue to Dominate Oil Markets,"Demand concerns are dominating oil markets this week, with OPEC cutting its global oil demand growth forecast for the fourth consecutive month on the back of underwhelming economic data out of China. - Immediately after Donald Trump’s re-election as US presid…",2024-11-12T14:30:00Z,-0.07999999999999999
